text,label,date
Authentic cuisine and friendly staff.,5,8 hours ago
"Good food, good time. Slightly upscale Chinese.",4,2 days ago
 ,5,3 days ago
"We were hesitant to come here because of some of the reviews. We thought we had nothing to lose to try it out since my partner is picky and I'm an American who misses beef that doesn't taste off. 

I don't know what establishment the …",5,a week ago
Good food and service,4,2 weeks ago
 ,4,2 weeks ago
 ,4,3 weeks ago
Brilliant food!,5,3 weeks ago
"We went here after waiting for so long in a queue in front of a hyped restaurant. This restaurant is slightly hidden upstairs, the decor is typically Chinese. The food was so good, especially the main dishes. Service was very friendly, helped us ordering and kept us from ordering too much.",5,4 weeks ago
 ,4,a month ago
 ,4,a month ago
 ,5,a month ago
"Very good authentic food , a hidden gem..",5,a month ago
Speedy service and delicious!,5,a month ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,3,a month ago
 ,4,a month ago
"It was my first visit to ChinaTown in London and we decided to give this place a try for a  Chinese course meal. The interiors of the place are alright, but it was very loud and noisy. The food was excellent! We relished the dishes put …",3,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
"Not too expensive,  service and surroundings and food was ok",4,a month ago
 ,4,2 months ago
"Great food, great service. Perfect for groups and really reasonably priced. Can't fault them",5,2 months ago
"Avoid at all cost! Nasty upstairs wedding venue type setup that is basically a con from start to end! I mean, how can any restaurant declare in small print that the discretionary 12.5 % service charge is actually added to the bill!! …",1,2 months ago
